4;24;7;2;19/02/2012
4;25;8;2;26/02/2012
4;26;9;2;04/03/2012
4;27;10;2;11/03/2012
4;28;11;2;22/03/2012
4;29;12;2;25/03/2012
4;30;13;2;01/04/2012
4;31;14;2;15/04/2012
4;32;15;2;22/04/2012
4;33;16;2;25/04/2012
4;34;17;2;28/04/2012
5;1;1;1;25/09/2011
5;2;2;1;02/10/2011
5;3;3;1;09/10/2011
5;4;4;1;16/10/2011
5;5;5;1;23/10/2011
5;6;6;1;30/10/2011
5;7;7;1;06/11/2011
5;8;8;1;13/11/2011
5;9;9;1;20/11/2011
5;10;10;1;27/11/2011
5;11;11;1;04/12/2011
5;12;12;1;08/12/2011
5;13;13;1;11/12/2011
5;14;14;1;18/12/2011
5;15;15;1;05/01/2012
5;16;1;2;08/01/2012
5;17;2;2;15/01/2012
5;18;3;2;22/01/2012
5;19;4;2;29/01/2012
5;20;5;2;05/02/2012
5;21;6;2;12/02/2012
5;22;7;2;19/02/2012
5;23;8;2;26/02/2012
5;24;9;2;04/03/2012
5;25;10;2;11/03/2012
5;26;11;2;25/03/2012
5;27;12;2;01/04/2012
5;28;13;2;15/04/2012
5;29;14;2;22/04/2012
5;30;15;2;29/04/2012
6;1;1;1;01/10/2011
6;2;2;1;08/10/2011
6;3;3;1;15/10/2011
6;4;4;1;22/10/2011
6;5;5;1;29/10/2011
6;6;6;1;02/11/2011
6;7;7;1;05/11/2011
6;8;8;1;12/11/2011
6;9;9;1;19/11/2011
6;10;10;1;26/11/2011
6;11;11;1;03/12/2011
6;12;12;1;08/12/2011
6;13;13;1;10/12/2011
6;14;14;1;17/12/2011
6;15;15;1;07/01/2012
6;16;1;2;14/01/2012
6;17;2;2;21/01/2012
6;18;3;2;28/01/2012
6;19;4;2;04/02/2012
6;20;5;2;11/02/2012
6;21;6;2;18/02/2012
6;22;7;2;25/02/2012
6;23;8;2;03/03/2012
6;24;9;2;10/03/2012
6;25;10;2;17/03/2012
6;26;11;2;24/03/2012
6;27;12;2;31/03/2012
6;28;13;2;14/04/2012
6;29;14;2;21/04/2012
6;30;15;2;28/04/2012
